temp_treatment,percent ,plant clone 
14/14,94.9824908,Brother Goldsmith ‘720’
17/17,94.95718927,Brother Goldsmith ‘720’
20/20,84.79324072,Brother Goldsmith ‘720’
23/23,89.90657275,Brother Goldsmith ‘720’
26/26,0,Brother Goldsmith ‘720’
29/29,0,Brother Goldsmith ‘720’
20/14,94.83121994,Brother Goldsmith ‘720’
23/17,79.8061472,Brother Goldsmith ‘720’
26/14,0,Brother Goldsmith ‘720’
26/20,0,Brother Goldsmith ‘720’
29/17,0,Brother Goldsmith ‘720’
29/23,0,Brother Goldsmith ‘720’
14/14,99.99141058,Miva Smartissimo x Canberra ‘450’
17/17,99.97892909,Miva Smartissimo x Canberra ‘450’
20/20,99.96644759,Miva Smartissimo x Canberra ‘450’
23/23,99.95369768,Miva Smartissimo x Canberra ‘450’
26/26,9.913260314,Miva Smartissimo x Canberra ‘450’
29/29,0,Miva Smartissimo x Canberra ‘450’
20/14,99.91611898,Miva Smartissimo x Canberra ‘450’
23/17,99.90350327,Miva Smartissimo x Canberra ‘450’
26/14,54.7384724,Miva Smartissimo x Canberra ‘450’
26/20,74.94735627,Miva Smartissimo x Canberra ‘450’
29/17,0,Miva Smartissimo x Canberra ‘450’
29/23,0,Miva Smartissimo x Canberra ‘450’
