label,author,title,journal,doi,year,abstract,issn,citation,screened_titles,notes,screened_abstracts,downloaded,extractable,figures,organization,notes
Amarasekare_2012_AMERNATU,"Amarasekare, Priyanga and Savage, Van",A Framework for Elucidating the Temperature Dependence of Fitness,AMERICAN NATURALIST,10.1086/663677,2012,"Climate warming is predicted to cause large-scale extinctions, particularly of ectothermic species. A striking difference between tropical and temperate ectotherms is that tropical species experience a mean habitat temperature that is closer to the temperature at which fitness is maximized (T-opt) and an upper temperature limit for survival (T-max) that is closer to T-opt than do temperate species. Thus, even a small increase in environmental temperature could put tropical ectotherms at high risk of extinction, whereas temperate ectotherms have a wider temperature cushion. Although this pattern is widely observed, the mechanisms that produce it are not well understood. Here we develop a mathematical framework to partition the temperature response of fitness into its components (fecundity, mortality, and development) and test model predictions with data for insects. We find that fitness declines at high temperatures because the temperature responses of fecundity and mortality act in opposite ways: fecundity decreases with temperature when temperatures exceed the optimal range, whereas mortality continues to increase. The proximity of T-opt to T-max depends on how the temperature response of development mediates the interaction between fecundity and mortality. When development is highly temperature sensitive, mortality exceeds reproduction only after fecundity has started to decline with temperature, which causes fitness to decline rapidly to zero when temperatures exceed T-opt. The model correctly predicts empirically observed fitness-temperature relationships in insects from different latitudes. It also suggests explanations for the widely reported phenological shifts in many ectotherms and the latitudinal differences in fitness responses.",0003-0147,a Framework for Elucidating the Temperature Dependence of Fitness.,selected,background,selected,y,,,,
Amarasekare_2013_JOOFANEC,"Amarasekare, Priyanga and Coutinho, Renato M.",The intrinsic growth rate as a predictor of population viability under climate warming,JOURNAL OF ANIMAL ECOLOGY,10.1111/1365-2656.12112,2013,"1. Lately, there has been interest in using the intrinsic growth rate (rm) to predict the effects of climate warming on ectotherm population viability. However, because rm is calculated using the Euler-Lotka equation, its reliability in predicting population persistence depends on whether ectotherm populations can achieve a stable age/stage distribution in thermally variable environments. Here, we investigate this issue using a mathematical framework that incorporates mechanistic descriptions of temperature effects on vital rates into a stage-structured population model that realistically captures the temperature-induced variability in developmental delays that characterize ectotherm life cycles. We find that populations experiencing seasonal temperature variation converge to a stage distribution whose intra-annual pattern remains invariant across years. As a result, the mean annual per capita growth rate also remains constant between years. The key insight is the mechanism that allows populations converge to a stationary stage distribution. Temperature effects on the biochemical processes (e.g. enzyme kinetics, hormonal regulation) that underlie life-history traits (reproduction, development and mortality) exhibit well-defined thermodynamical properties (e.g. changes in entropy and enthalpy) that lead to predictable outcomes (e.g. reduction in reaction rates or hormonal action at temperature extremes). As a result, life-history traits exhibit a systematic and predictable response to seasonal temperature variation. This in turn leads to temporally predictable temperature responses of the stage distribution and the per capita growth rate. When climate warming causes an increase in the mean annual temperature and/or the amplitude of seasonal fluctuations, the population model predicts the mean annual per capita growth rate to decline to zero within 100 years when warming is slow relative to the developmental period of the organism (003-005 degrees C per year) and to become negative, causing population extinction, well before 100 years when warming is fast (e.g. 01 degrees C per year). The Euler-Lotka equation predicts a slower decrease in rm when warming is slow and a longer persistence time when warming is fast, with the deviation between the two metrics increasing with increasing developmental period. These results suggest that predictions of ectotherm population viability based on rm may be valid only for species with short developmental delays, and even then, only over short time-scales and under slow warming regimes.",0021-8790,The Intrinsic Growth Rate as a Predictor of Population Viability under Climate Warming.,selected,background,selected,y,,,,
Bernhardt_2018_PROFTHROSOB.SC,"Bernhardt, Joey R. and Sunday, Jennifer M. and Thompson, Patrick L. and O'Connor, Mary I.",Nonlinear averaging of thermal experience predicts population growth rates in a thermally variable environment,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2018.1076,2018,"As thermal regimes change worldwide, projections of future population and species persistence often require estimates of how population growth rates depend on temperature. These projections rarely account for how temporal variation in temperature can systematically modify growth rates relative to projections based on constant temperatures. Here, we tested the hypothesis that time-averaged population growth rates in fluctuating thermal environments differ from growth rates in constant conditions as a consequence of Jensen's inequality, and that the thermal performance curves (TPCs) describing population growth in fluctuating environments can be predicted quantitatively based on TPCs generated in constant laboratory conditions. With experimental populations of the green alga Tetraselmis tetrahele, we show that nonlinear averaging techniques accurately predicted increased as well as decreased population growth rates in fluctuating thermal regimes relative to constant thermal regimes. We extrapolate from these results to project critical temperatures for population growth and persistence of 89 phytoplankton species in naturally variable thermal environments. These results advance our ability to predict population dynamics in the context of global change.",0962-8452,Nonlinear Averaging of Thermal Experience Predicts Population Growth Rates in a Thermally Variable Environment.,selected,background,selected,y,,,,
Bowden_2018_PHYS,"Bowden, Rachel M. and Paitz, Ryan T.",Temperature fluctuations and maternal estrogens as critical factors for understanding temperature-dependent sex determination in nature,PHYSIOLOGY,10.1002/jez.2183,2018,"Vertebrates with temperature-dependent sex determination (TSD) have justifiably received a lot of attention when it comes to the potential effects of climate change. Freshwater turtles have long been used to characterize the physiological and genetic mechanisms underlying TSD and provide a great system to investigate how changing climatic conditions will affect vertebrates with TSD. Unfortunately, most of what we know about the mechanisms underlying TSD comes from laboratory conditions that do not accurately mimic natural conditions (i.e., constant incubation temperatures and supraphysiological steroid manipulations). In this paper, we review recent advances in our understanding of how TSD operates in nature that arose from studies using more natural fluctuating incubation temperatures and natural variation in maternal estrogens within the yolk. By incorporating more natural conditions into laboratory studies, we are better able to use these studies to predict how changing climatic conditions will affect species with TSD.",2471-5638,Temperature Fluctuations and Maternal Estrogens as Critical Factors for Understanding Temperature-Dependent Sex Determination in Nature.,selected,background,selected,y,,,,
Colinet_2018_JOOFEXBI,"Colinet, Herve and Rinehart, Joseph P. and Yocum, George D. and Greenlee, Kendra J.",Mechanisms underpinning the beneficial effects of fluctuating thermal regimes in insect cold tolerance,JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.164806,2018,"Insects exposed to low temperature often have high mortality or exhibit sublethal effects. A growing number of recent studies have shown beneficial effects of exposing insects to recurrent brief warm pulses during low-temperature stress (fluctuating thermal regime, FTR). The physiological underpinnings of the beneficial effects of FTR on cold survival have been extensively studied over the past few years. Profiling with various '-omics' techniques has provided supporting evidence for different physiological responses between insects exposed to FTR and constant low temperature. Evidence from transcriptomic, metabolomic and lipidomic studies points to a system-wide loss of homeostasis at low temperature that can be counterbalanced by repair mechanisms under FTR. Although there has been considerable progress in understanding the physiological mechanisms underlying the beneficial effects of FTR, here we discuss how many areas still lack clarity, such as the precise role(s) of heat shock proteins, compatible solutes or the identification of regulators and key players involved in the observed homeostatic responses. FTR can be particularly beneficial in applied settings, such as for model insects used in research, integrated pest management and pollination services. We also explain how the application of FTR techniques in large-scale facilities may require overcoming some logistical and technical constraints. FTR definitively enhances survival at low temperature in insects, but before it can be widely used, we suggest that the possible fitness and energy costs of FTR must be explored more thoroughly. Although FTR is not ecologically relevant, similar processes may operate in settings where temperatures fluctuate naturally.",0022-0949,Mechanisms Underpinning the Beneficial Effects of Fluctuating Thermal Regimes in Insect Cold Tolerance.,selected,background,selected,y,,,,
Dee_2016_PROFTHROSOB.SC,"Dee, Laura E. and Miller, Steve J. and Peavey, Lindsey E. and Bradley, Darcy and Gentry, Rebecca R. and Startz, Richard and Gaines, Steven D. and Lester, Sarah E.",Functional diversity of catch mitigates negative effects of temperature variability on fisheries yields,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2016.1435,2016,"Temperature variation within a year can impact biological processes driving population abundances. The implications for the ecosystem services these populations provide, including food production from marine fisheries, are poorly understood. Whether and how temperature variability impacts fishery yields may depend on the number of harvested species and differences in their responses to varying temperatures. Drawing from previous theoretical and empirical studies, we predict that greater temperature variability within years will reduce yields, but harvesting a larger number of species, especially a more functionally diverse set, will decrease this impact. Using a global marine fisheries dataset, we find that within-year temperature variability reduces yields, but current levels of functional diversity (FD) of targeted species, measured using traits related to species' responses to temperature, largely offset this effect. Globally, high FD of catch could avoid annual losses in yield of 6.8% relative to projections if FD were degraded to the lowest level observed in the data. By contrast, species richness in the catch and in the ecosystem did not provide a similar mitigating effect. This work provides novel empirical evidence that short-term temperature variability can negatively impact the provisioning of ecosystem services, but that FD can buffer these negative impacts.",0962-8452,Functional Diversity of Catch Mitigates Negative Effects of Temperature Variability on Fisheries Yields.,selected,background,selected,y,,,,
Delmas_2008_FUNCECOL,"Delmas, V. and Prevot-Julliard, A. -C. and Pieau, C. and Girondot, M.",A mechanistic model of temperature-dependent sex determination in a chelonian: the European pond turtle,FUNCTIONAL ECOLOGY,10.1111/j.1365-2435.2007.01349.x,2008,"In temperature-dependent sex determination (TSD) species, offspring sex-ratio is dependent on the environmental temperature. For oviparous sauropsid species, temperature within the nest influences gonadal sexual differentiation during a small window of embryogenesis called the thermosensitive period (TSP). The absence of sexual dimorphic characteristic in juveniles of TSD species coupled with the lack of a non-invasive method to determine sex is a great obstacle to studies estimating sex-ratios under natural conditions. Some authors have proposed proxies of sex-ratio obtained through correlative approaches. They commonly extrapolate the empirical profile of sex-ratios as a function of constant incubation temperature established for several species in the laboratory to a field context. However, most of these proxies have been refuted by studies realized under field conditions, and consequently they cannot be used to predict sex-ratio under natural conditions. Here, we propose a new thermal model of TSD using a mechanistic approach. We built this model from a collection of published data of physiological processes (i.e. the growth of the embryo, the growth of gonads and the activity of the enzyme aromatase) underlying the TSD mechanism, for the European pond turtle (Emys orbicularis). This new approach provides integration of incubation temperature fluctuations, as well as the cumulative and differential effect of high and low temperatures on sexual differentiation to embryo sex determination. The significant consistency obtained between observed and predicted sex-ratios both at diverse constant and fluctuating incubation temperatures provides hope to develop an efficient method to predict sex-ratio under natural conditions. The reliable validity of this new model could have wide-ranging implications for the understanding of the TSD mechanism, as well as its evolutionary and ecological consequences in natural populations.",0269-8463,a Mechanistic Model of Temperature-Dependent Sex Determination in a Chelonian: The European Pond Turtle.,selected,background,selected,y,,,,
Kos_2007_ANOFBO,"Kos, Martijn and Poschlod, Peter",Seeds use temperature cues to ensure germination under nurse-plant shade in xeric Kalahari savannah,ANNALS OF BOTANY,10.1093/aob/mcl293,2007,"Background and Aims In and environments many plant species are found associated with the canopies of woody perennials. Favourable conditions for establishment under canopies are likely to be associated with shade, but under canopies shade is distributed patchily and differs in quality. Diurnal temperature fluctuations and maximum temperatures could be reliable indicators of safe sites. Here, an examination is made as to whether canopy-associated species use temperature cues to germinate in shade patches, rather than matrix areas between trees. Methods The study was carried out in and southern Kalahari savannah (Republic of South Africa). Perennial and annual species associated with Acacia erioloba trees and matrix species were germinated at temperature regimes resembling shaded and unshaded conditions. Soil temperature was measured in the field. Key Results Germination of all fleshy-fruited perennial acacia-associated species and two annual acacia-associated species was inhibited by the temperature regime resembling unshaded conditions compared with at least one of the regimes resembling shaded conditions. Inhibition in perennials decreased with seed mass, probably reflecting that smaller seedlings are more vulnerable to drought. Germination of matrix species was not inhibited by the unshaded temperature regime and in several cases it increased germination compared with shaded temperature regimes or constant temperature. Using phylogenctically independent contrasts a significant positive relationship was found between canopy association and the germination at shade temperatures relative to unshaded temperatures. Conclusions The data support the hypothesis that canopy species have developed mechanisms to prevent germination in open sun conditions. The results and data from the literature show that inhibition of germination at temperature regimes characteristic of open sun conditions can be found in fleshy-fruited species of widely divergent taxonomic groups. It is predicted that germination mechanisms to detect canopy shade based on temperature cues are widespread in species depending on nurse plants, especially bird-dispersed species.",0305-7364,Seeds Use Temperature Cues to Ensure Germination under Nurse-Plant Shade in Xeric Kalahari Savannah.,selected,background,selected,y,,,,
Larson_2016_JOOFEVBI,"Larson, W. A. and Lisi, P. J. and Seeb, J. E. and Seeb, L. W. and Schindler, D. E.",Major histocompatibility complex diversity is positively associated with stream water temperatures in proximate populations of sockeye salmon,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/jeb.12926,2016,"Local adaptation to heterogeneous environments generates population diversity within species, significantly increasing ecosystem stability and flows of ecosystem services. However, few studies have isolated the specific mechanisms that create and maintain this diversity. Here, we examined the relationship between water temperature in streams used for spawning and genetic diversity at a gene involved in immune function [the major histocompatibility complex (MHC)] in 14 populations of sockeye salmon (Oncorhynchus nerka) sampled across the Wood River basin in south-western Alaska. The largest influence on MHC diversity was lake basin, but we also found a significant positive correlation between average water temperature and MHC diversity. This positive relationship between temperature and MHC diversity appears to have been produced by natural selection at very local scales rather than neutral processes, as no correlation was observed between temperature and genetic diversity at 90 neutral markers. Additionally, no significant relationship was observed between temperature variability and MHC diversity. Although lake basin was the largest driver of differences in MHC diversity, our results also demonstrate that fine-scale differences in water temperature may generate variable selection regimes in populations that spawn in habitats separated by as little as 1km. Additionally, our results indicated that some populations may be reaching a maximum level of MHC diversity. We postulate that salmon from populations in warm streams may delay spawning until late summer to avoid thermal stress as well as the elevated levels of pathogen prevalence and virulence associated with warm temperatures earlier in the summer.",1010-061X,Major Histocompatibility Complex Diversity is Positively Associated with Stream Water Temperatures in Proximate Populations of Sockeye Salmon.,selected,background,selected,y,,,,
Liu_2017_ECOANDEVO,"Liu, Yang and Barot, Sebastien and El-Kassaby, Yousry A. and Loeuille, Nicolas",Impact of temperature shifts on the joint evolution of seed dormancy and size,ECOLOGY AND EVOLUTION,10.1002/ece3.2611,2017,"Seed dormancy and size are two important life-history traits that interplay as adaptation to varying environmental settings. As evolution of both traits involves correlated selective pressures, it is of interest to comparatively investigate the evolution of the two traits jointly as well as independently. We explore evolutionary trajectories of seed dormancy and size using adaptive dynamics in scenarios of deterministic or stochastic temperature variations. Ecological dynamics usually result in unbalanced population structures, and temperature shifts or fluctuations of high magnitude give rise to more balanced ecological structures. When only seed dormancy evolves, it is counter-selected and temperature shifts hasten this evolution. Evolution of seed size results in the fixation of a given strategy and evolved seed size decreases when seed dormancy is lowered. When coevolution is allowed, evolutionary variations are reduced while the speed of evolution becomes faster given temperature shifts. Such coevolution scenarios systematically result in reduced seed dormancy and size and similar unbalanced population structures. We discuss how this may be linked to the system stability. Dormancy is counter-selected because population dynamics lead to stable equilibrium, while small seeds are selected as the outcome of size-number trade-offs. Our results suggest that unlike random temperature variation between generations, temperature shifts with high magnitude can considerably alter population structures and accelerate life-history evolution. This study increases our understanding of plant evolution and persistence in the context of climate changes.",2045-7758,Impact of Temperature Shifts on the Joint Evolution of Seed Dormancy and Size.,selected,background,selected,y,,,,
