"label","type","author","title","journal","year","volume","pages","doi","note","url","abstract","document_type","source","number","art_number","screened_abstracts","notes"
"Tagliarolo201525","ARTICLE","Tagliarolo, M. and Grall, J. and Chauvaud, L. and Clavier, J.","Regional scale estimation of carbon fluxes from long-term monitoring of intertidal exposed rocky shore communities","Journal of Marine Systems","2015","149","25-35","10.1016/j.jmarsys.2015.04.004","cited By 1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928787804&doi=10.1016%2fj.jmarsys.2015.04.004&partnerID=40&md5=e1292e25f4c613dfd5c7aaef2a06a8d2","The observed increase in the atmospheric concentration of carbon dioxide due to anthropogenic emissions is predicted to lead to significant changes in climate. Recent studies highlight the importance of identifying the role of marine coastal communities in carbon exchanges. Our objective was to couple macrozoobenthos abundance data from long-term monitoring with species metabolism rates to contribute to the estimation of CO2 fluxes from an intertidal exposed rocky shore community at a regional scale. The carbon fluxes due to respiration and calcification were calculated both during emersion and immersion, and the effect of temperature variation on carbon emissions was then predicted. Spatial and temporal natural variations of carbon fluxes were investigated and the contribution of exposed intertidal rocky shore communities to regional carbon emissions was calculated. The method was used to calculate the carbon budget allowed to account for the natural spatial variability of the community composition and carbon emissions. Mean annual calculated CO2 emission was 14.3molCm-2yr-2, and the annual regional CO2 flux was estimated at 2978tCyr-1. Simulations showed that the potential feedback of a rise in temperature of 1C would lead to an increase of 4-7% in carbon emissions for this type of community. The results give a first quantification of intertidal exposed rocky shore carbon emissions that could be considered in evaluating further the global CO2 budget.  2015 Elsevier B.V.","Article","Scopus",NA,NA,"excluded",""
"Zhang20181202","ARTICLE","Zhang, S. and Sheng, B. and Lin, W. and Meng, F.","Day/night temperature differences (DNTD) trigger changes in nutrient removal and functional bacteria in membrane bioreactors","Science of the Total Environment","2018","636","1202-1210","10.1016/j.scitotenv.2018.04.373","cited By 8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046626753&doi=10.1016%2fj.scitotenv.2018.04.373&partnerID=40&md5=913af20fa530f40a3a32f987ac98db44","Temperature is a well-known environmental stress that influences both microbial metabolism and community structure in the biological wastewater treatment systems. In this study, responses of biological performance and sludge microbiota to the long-term day/night temperature differences (DNTD) were investigated in membrane bioreactors (MBRs). The results showed that the functional bacteria could sustained their ecological functions at low DNTD (20/30 C), resulting in relatively stable performance with respect to nutrient removal. However, when the activated sludge was subjected to a high DNTD (17/33 C), the effluent concentrations of COD, TN and TP were significantly higher in MBR-B than that in MBR-A. In addition, more severe membrane fouling occurred under the perturbation of high DNTD as revealed by the transmembrane pressure (TMP) profile, which was mainly attributed to the accumulation of extracellular polymeric substances (EPS). The results of 16S rRNA gene sequencing showed that DNTD showed negligible effect on the bacterial community structures. Nonetheless, the functional bacteria responded differently to DNTD, which were in accordance with the bioreactor performances. Specifically, Nitrospina (NOB) and Tetrasphaera (PAOs) appeared to be sensitive to both low and high DNTD. In contrast, a low DNTD showed marginal effects on the denitrifiers, while a high DNTD significantly decreased their abundances. More strikingly, filamentous bulking bacteria were found to be well-adapted to DNTD, indicating their tolerance to the daily temperature fluctuation. This study will advance our knowledge regarding the response of microbial ecology of activated sludge to daily temperature variations in full-scale MBRs.  2018 Elsevier B.V.","Article","Scopus",NA,NA,"selected",""
"Magni2018","ARTICLE","Magni, S. and Succurro, A. and Skupin, A. and Ebenhh, O.","Data-driven dynamical model indicates that the heat shock response in chlamydomonas reinhardtii is tailored to handle natural temperature variation","Journal of the Royal Society Interface","2018","15",NA,"10.1098/rsif.2017.0965","cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046675711&doi=10.1098%2frsif.2017.0965&partnerID=40&md5=e4b56ce6f5bcbb4c982b981cb6e13a90","Global warming exposes plants to severe heat stress, with consequent crop yield reduction. Organisms exposed to high temperature stresses typically protect themselves with a heat shock response (HSR), where accumulation of unfolded proteins initiates the synthesis of heat shock proteins through the heat shock transcription factor HSF1. While the molecular mechanisms are qualitatively well characterized, our quantitative understanding of the underlying dynamics is still very limited. Here, we study the dynamics of HSR in the photosynthetic model organism Chlamydomonas reinhardtii with a data-driven mathematical model of HSR. We based our dynamical model mostly on mass action kinetics, with a few nonlinear terms. The model was parametrized and validated by several independent datasets obtained from the literature. We demonstrate that HSR quantitatively and significantly differs if an increase in temperature of the same magnitude occurs abruptly, as often applied under laboratory conditions, or gradually, which would rather be expected under natural conditions. In contrast to rapid temperature increases, under gradual changes only negligible amounts of misfolded proteins accumulate, indicating that the HSR of C. reinhardtii efficiently avoids the accumulation of misfolded proteins under conditions most likely to prevail in nature. The mathematical model we developed is a flexible tool to simulate the HSR to different conditions and complements the current experimental approaches.  2018 The Authors.","Article","Scopus","142","20170965","selected",""
"Delnat20191237","ARTICLE","Delnat, V. and Tran, T.T. and Verheyen, J. and Van Dinh, K. and Janssens, L. and Stoks, R.","Temperature variation magnifies chlorpyrifos toxicity differently between larval and adult mosquitoes","Science of the Total Environment","2019","690","1237-1244","10.1016/j.scitotenv.2019.07.030","cited By 9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068792430&doi=10.1016%2fj.scitotenv.2019.07.030&partnerID=40&md5=b516270e0811fafd0e7cf28fc0c73d08","To improve risk assessment there is increasing attention for the effect of climate change on the sensitivity to contaminants and vice versa. Two important and connected topics have been largely ignored in this context: (i) the increase of daily temperature variation (DTV) as a key component of climate change, and (ii) differences in sensitivity to climate change and contaminants between developmental stages. We therefore investigated whether DTV magnified the negative effects of the organophosphate insecticide chlorpyrifos on mortality and heat tolerance and whether this effect was stronger in aquatic larvae than in terrestrial adults of the mosquito Culex pipiens. Exposure to chlorpyrifos at a constant temperature imposed mortality and reduced the heat tolerance in both larvae and adult males, but not in adult females. This provides the first evidence that the TICS (toxicant-induced climate change sensitivity) concept can be sex-specific. DTV had no direct negative effects. Yet, consistent with the CITS (climate-induced toxicant sensitivity) concept, DTV magnified the toxicity of the pesticide in terms of larval mortality. This was not the case in the adult stage indicating the CITS concept to be dependent on the developmental stage. Notably, chlorpyrifos reduced the heat tolerance of adult females only in the presence of DTV, thereby providing support for the reciprocal effects between DTV and contaminants, hence the coupling of the TICS and CITS concepts. Taken together, our results highlight the importance of integrating DTV and the developmental stage to improve risk assessment of contaminants under climate change.  2019 Elsevier B.V.","Article","Scopus",NA,NA,"selected",""
"Liu2007432","ARTICLE","Liu, Y. and Wu, Z.-M. and Li, Y.-F. and Wang, R.-Z. and Tian, P.-H.","Experimental study on the controlled atmosphere storage for 'Jinxiu' yellow peaches","Shanghai Jiaotong Daxue Xuebao/Journal of Shanghai Jiaotong University","2007","41","432-436",NA,"cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248632858&partnerID=40&md5=e4396d5eff8f978f3486faf591b309f7","The experimental study of controlled atmosphere (CA) storage with 'Jinxiu' yellow peaches (prunus persicu L. Batsch.) for six weeks was done in a lab-scale CA system. Four kinds of parameters with different O2 and CO2 concentration data were used for the experiment, as well as the control tests at (2  0.5)C and at (28  2)C. The physiological and attribute data of peaches were determined during the storage period. It is shown that the storage condition of 2%-3% O2, 2.5%-5% CO2 under (2  0.5)C may keep the postharvest quality of peaches effectively, while the shelf life of peaches is extended.","Article","Scopus","3",NA,"excluded",""
"Colinet2015123","ARTICLE","Colinet, H. and Sinclair, B.J. and Vernon, P. and Renault, D.","Insects in fluctuating thermal environments","Annual Review of Entomology","2015","60","123-140","10.1146/annurev-ento-010814-021017","cited By 302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920808706&doi=10.1146%2fannurev-ento-010814-021017&partnerID=40&md5=47c40cd61d21389cd2a18e2e0c54acc1","All climate change scenarios predict an increase in both global temperature means and the magnitude of seasonal and diel temperature variation. The nonlinear relationship between temperature and biological processes means that fluctuating temperatures lead to physiological, life history, and ecological consequences for ectothermic insects that diverge from those predicted from constant temperatures. Fluctuating temperatures that remain within permissive temperature ranges generally improve performance. By contrast, those which extend to stressful temperatures may have either positive impacts, allowing repair of damage accrued during exposure to thermal extremes, or negative impacts from cumulative damage during successive exposures. We discuss the mechanisms underlying these differing effects. Fluctuating temperatures could be used to enhance or weaken insects in applied rearing programs, and any prediction of insect performance in the field-including models of climate change or population performance-must account for the effect of fluctuating temperatures.  2015 by Annual Reviews. All rights reserved.","Review","Scopus",NA,NA,"selected",""
"Miao2014264","ARTICLE","Miao, Z. and Zeng, W. and Wang, S. and Peng, Y. and Cao, G. and Weng, D. and Xue, G. and Yang, Q.","Effect of temperature on anoxic metabolism of nitrites to nitrous oxide by polyphosphate accumulating organisms","Journal of Environmental Sciences (China)","2014","26","264-273","10.1016/S1001-0742(13)60406-4","cited By 13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893370325&doi=10.1016%2fS1001-0742%2813%2960406-4&partnerID=40&md5=737cbb7f4b751e6f7a5ef67fcb203633","Temperature is an important physical factor, which strongly influences biomass and metabolic activity. In this study, the effects of temperature on the anoxic metabolism of nitrite (NO-2) to nitrous oxide (N2O) by polyphosphate accumulating organisms, and the process of the accumulation of N2O (during nitrite reduction), which acts as an electron acceptor, were investigated using 91%  4% Candidatus Accumulibacter phosphatis sludge. The results showed that N2O is accumulated when Accumulibacter first utilize nitrite instead of oxygen as the sole electron acceptor during the denitrifying phosphorus removal process. Properties such as nitrite reduction rate, phosphorus uptake rate, N2O reduction rate, and polyhydroxyalkanoate degradation rate were all influenced by temperature variation (over the range from 10 to 30C reaching maximum values at 25C). The reduction rate of N2O by N2O reductase was more sensitive to temperature when N2O was utilized as the sole electron acceptor instead of NO2, and the N2O reduction rates, ranging from 0.48 to 3.53 N2O-N/(hrg VSS), increased to 1.45 to 8.60 mg N2O-N/(hrg VSS). The kinetics processes for temperature variation of 10 to 30C were (1 = 1.140-1.216 and 2 = 1.139-1.167). In the range of 10C to 30C, almost all of the anoxic stoichiometry was sensitive to temperature changes. In addition, a rise in N2O reduction activity leading to a decrease in N2O accumulation in long term operations at the optimal temperature (27C calculated by the Arrhenius model).  2014 The Research Centre for Eco-Environmental Sciences, Chinese Academy of Sciences.","Article","Scopus","2",NA,"selected",""
"Ober201726","ARTICLE","Ober, G.T. and Thornber, C. and Grear, J. and Kolbe, J.J.","Ecological differences influence the thermal sensitivity of swimming performance in two co-occurring mysid shrimp species with climate change implications","Journal of Thermal Biology","2017","64","26-34","10.1016/j.jtherbio.2016.11.012","cited By 5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007235925&doi=10.1016%2fj.jtherbio.2016.11.012&partnerID=40&md5=c2904241a3309f8954727d930484e157","Temperature strongly affects performance in ectotherms. As ocean warming continues, performance of marine species will be impacted. Many studies have focused on how warming will impact physiology, life history, and behavior, but few studies have investigated how ecological and behavioral traits of organisms will affect their response to changing thermal environments. Here, we assessed the thermal tolerances and thermal sensitivity of swimming performance of two sympatric mysid shrimp species of the Northwest Atlantic. Neomysis americana and Heteromysis formosa overlap in habitat and many aspects of their ecological niche, but only N. americana exhibits vertical migration. In temperate coastal ecosystems, temperature stratification of the water column exposes vertical migrators to a wider range of temperatures on a daily basis. We found that N. americana had a significantly lower critical thermal minimum (CTmin) and critical thermal maximum (CTmax). However, both mysid species had a buffer of at least 4 C between their CTmax and the 100-year projection for mean summer water temperatures of 28 C. Swimming performance of the vertically migrating species was more sensitive to temperature variation, and this species exhibited faster burst swimming speeds. The generalist performance curve of H. formosa and specialist curve of N. americana are consistent with predictions based on the exposure of each species to temperature variation such that higher within-generation variability promotes specialization. However, these species violate the assumption of the specialist-generalist tradeoff in that the area under their performance curves is not constant. Our results highlight the importance of incorporating species-specific responses to temperature based on the ecology and behavior of organisms into climate change prediction models.  2016","Article","Scopus",NA,NA,"selected",""
"Shajkofci2021","ARTICLE","Shajkofci, A.","Correction of human forehead temperature variations measured by non-contact infrared thermometer","IEEE Sensors Journal","2021",NA,NA,"10.1109/JSEN.2021.3058958","cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100835037&doi=10.1109%2fJSEN.2021.3058958&partnerID=40&md5=d17f39fb488b8d1f6b3da01146b2c2e6","Elevated body temperature (fever) can be a common symptom of a medical condition, such as a viral or bacterial infection, including SARS-CoV-2 or influenza. Non-contact infrared thermometers are able to measure forehead temperature in a timely manner and were used to perform a fast fever screening in a population. However, forehead temperature measurements differ greatly from basal body temperatures, and are the target of massive perturbations from the environment. Here we gathered a dataset of N=18024 measurements using the same precision infrared sensor in different locations while tracking both outside temperature, room temperature, time of measurement, and identity. Herein, we propose a method able to extract and remove the influence of external perturbations, and set the threshold for fever detection to 37.38 &#x00B0;C, after calibration and temperature correction. This method can help manufacturers and decision-makers to build and use more accurate tools so as to maximize both sensitivity and specificity of the screening protocol. IEEE","Article","Scopus",NA,NA,"excluded",""
"Delnat201933","ARTICLE","Delnat, V. and Tran, T.T. and Janssens, L. and Stoks, R.","Daily temperature variation magnifies the toxicity of a mixture consisting of a chemical pesticide and a biopesticide in a vector mosquito","Science of the Total Environment","2019","659","33-40","10.1016/j.scitotenv.2018.12.332","cited By 9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059176750&doi=10.1016%2fj.scitotenv.2018.12.332&partnerID=40&md5=5b064bf07cab561e58f95a9da3715178","While many studies on the toxicity of pesticides looked at the effects of a higher mean temperature, effects of the realistic scenario of daily temperature variation are understudied. Moreover, despite the increasing interest for the toxicity of pesticide mixtures how this is influenced by temperature has been largely ignored. We tested whether daily temperature variation (DTV) magnifies the toxicity of two pesticides with a different mode of action, the organophosphate pesticide chlorpyrifos (CPF) and the biopesticide Bacillus thuringiensis var. israelensis (Bti), and of their mixture in the vector mosquito Culex pipiens. Single exposure to CPF and Bti increased mortality and reduced female development time, and exposure to CPF also increased female wing length. DTV was not lethal and did not change the toxicity of the individual pesticides. Yet, a key novel finding was that high DTV increased the mortality of the mixture by changing the interaction between both pesticides from additive to synergistic. Given that in nature daily temperature variation is omnipresent, this is important both for vector control and for ecological risk assessment. The higher toxicity of the mixture at high DTV compared to the typically used constant test temperatures in the laboratory urges caution when evaluating the environmental impact of pesticide mixtures.  2018 Elsevier B.V.","Article","Scopus",NA,NA,"excluded",""
