label,author,title,journal,doi,year,abstract,issn,journal_secondary,volume,issue,pages,institution,url,ea,ei,pm,pt,ri,tc,ut,z8,z9,za,zb,zr,zs,ar,oi,pd,z2,be,bn,cl,ct,pn,se,z4,s1,ho,si,ca,ma,su,gp,ft,ak,z1,x1,y4,citation,screened_titles,notes
Massey_2020_PHYS,"Massey, Melanie D. and Hutchings, Jeffrey A.",Thermal variability during ectotherm egg incubation: A synthesis and framework,PHYSIOLOGY,10.1002/jez.2400,2020,"Natural populations of ectothermic oviparous vertebrates typically experience thermal variability in their incubation environment. Yet an overwhelming number of laboratory studies incubate animals under constant thermal conditions that cannot capture natural thermal variability. Here, we systematically searched for studies that incubated eggs of ectothermic vertebrates, including both fishes and herpetofauna, under thermally variable regimes. We ultimately developed a compendium of 66 studies that used thermally variable conditions for egg incubation. In this review, we qualitatively discuss key findings from literature in the compendium, including the phenotypic effects resulting from different patterns of thermally variable incubation, as well as the ontogenetic persistence of these effects. We also describe a physiological framework for contextualizing some of these effects, based on thermal performance theory. Lastly, we highlight key gaps in our understanding of thermally variable incubation and offer suggestions for future studies.",2471-5638,JOURNAL OF EXPERIMENTAL ZOOLOGY PART A-ECOLOGICAL AND INTEGRATIVE,NA,NA,NA,NA,NA,Aug-20,2471-5646,32767534,J,"Hutchings, Jeffrey/ABA-1098-2020",1,WOS:000556175000001,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thermal Variability During Ectotherm Egg Incubation: a Synthesis and Framework.,selected,NA
Hartnett_2002_CRYO,"Hartnett, JG and Tobar, ME and Ivanov, EN and Bilski, P",Temperature fluctuations in a solid-nitrogen cooled secondary frequency standard,CRYOGENICS,10.1016/S0011-2275(01)00178-3,2002,"Liquid helium and liquid nitrogen are commonly used as coolants for highly frequency stable oscillators. In this paper. e present the use of solid nitrogen as an alternative coolant. Solid nitrogen solidifies near 52 K under vacuum and we show that the temperature fluctuations in the solid are an order of magnitude lower than in the liquid. This has the advantage of reducing the temperature control requirements necessary to limit temperature induced frequency fluctuations in cryogenic microwave resonator-oscillators, (C) 2002 Published by Elsevier Science Ltd.",0011-2275,NA,42,1,45-48,NA,NA,NA,1879-2235,NA,J,"Tobar, Michael E/C-9763-2009; Hartnett, John/F-7037-2010; Hartnett, John/",6,WOS:000175192300006,0,6,0,0,0,0,PII S011-2275(01)00178-3,"Tobar, Michael E/0000-0002-3139-1994; Hartnett, John/0000-0002-0718-1727",Jan-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperature Fluctuations in a Solid-Nitrogen Cooled Secondary Frequency Standard.,excluded,NA
Aristizabal_2016_JOOFGERE,"Aristizabal, Maria F. and Fewings, Melanie R. and Washburn, Libe","Contrasting spatial patterns in the diurnal and semidiurnal temperature variability in the Santa Barbara Channel, California",JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,10.1002/2015JC011239,2016,"The Santa Barbara Channel, California, experiences large temperature fluctuations during summer that have been associated with the input of nutrients to the euphotic zone. We studied the temperature fluctuations in the diurnal and semidiurnal bands, which account for as much as 65% of the total variance. We analyzed data from 25 moorings along the mainland and the Northern Channel Islands deployed at depths 8-18 m during 1999-2012. In the diurnal band, the temperature fluctuations vary almost simultaneously within two distinct regions, with a lag of 5 h between the regions: the mainland east of Point Conception and the west part of the Channel exposed to the large-scale winds. The two regions of in-phase temperature variability are in agreement with a previously published division of zones according to the wind characteristics. The portion of the diurnal temperature variance that is wind driven does not propagate along the coastline, but rather is directly forced by the wind. The semidiurnal temperature oscillations are more substantial in the Northern Channel Islands. These findings are consistent with a numerical study that predicted that the steep slopes of the Santa Cruz Basin, located south of the Channel Islands, are a source of semidiurnal internal tides. We conclude that the contrast between the spatial patterns of the diurnal and semidiurnal temperature oscillations on scales of tens of kilometers reflects the spatial distribution of the main forcing in each band, namely the diurnal wind and the locally generated semidiurnal internal tide. The spatial patterns of the diurnal and semidiurnal oscillations reflect the forcing in each band.",2169-9275,NA,121,1,427-440,NA,NA,NA,2169-9291,NA,J,"Fewings, Melanie/F-6838-2013",9,WOS:000371432200025,0,9,0,2,0,0,NA,"Fewings, Melanie/0000-0003-2903-1620",Jan-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Contrasting Spatial Patterns in the Diurnal and Semidiurnal Temperature Variability in the Santa Barbara Channel, California.",selected,NA
Davis_2020_JOOFPHA.ANTH,"Davis, Sergio",On the possible distributions of temperature in nonequilibrium steady states,JOURNAL OF PHYSICS A-MATHEMATICAL AND THEORETICAL,10.1088/1751-8121/ab5eb6,2020,"Superstatistics is a framework in nonequilibrium statistical mechanics that successfully describes a wide variety of complex systems, including hydrodynamic turbulence, weakly-collisional plasmas, cosmic rays, power grid fluctuations, among several others. In this work we analyze the class of nonequilibrium steady-state systems consisting of a subsystem and its environment, and where the subsystem is described by the superstatistical framework. In this case we provide an answer to the mechanism by which a broad distribution of temperature arises, namely due to correlation between subsystem and environment. We prove that there is a unique microscopic definition of inverse temperature compatible with superstatistics, in the sense that all moments of and coincide. The function however, cannot depend on the degrees of freedom of the system itself, only on the environment, in full agreement with our previous impossibility theorem (Davis and Gutierrez 2018 Physica A 505 864-70). The present results also constrain the possible joint ensembles of system and environment compatible with superstatistics.",1751-8113,NA,53,4,NA,NA,NA,NA,1751-8121,NA,J,NA,1,WOS:000507904400001,0,1,0,0,0,0,45004,"Davis, Sergio/0000-0003-2757-332X",JAN 31 2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,On the Possible Distributions of Temperature in Nonequilibrium Steady States.,excluded,NA
Listratov_2018_FLUIDYNARESE,"Listratov, Ya and Ognerubov, D. and Zikanov, O. and Sviridov, V",Numerical simulations of mixed convection in liquid metal flow within a horizontal pipe with transverse magnetic field,FLUID DYNAMICS RESEARCH,10.1088/1873-7005/aab382,2018,"Flow of a liquid metal through a horizontal pipe with imposed transverse horizontal magnetic field and constant-rate heating applied to the lower half of the wall is analyzed using high-resolution numerical simulations. The focus of the study is on the anomalous high-amplitude fluctuations of temperature detected in earlier experiments. An extensive parametric study reveals the effect of the Grashof, Reynolds, and Hartmann numbers on this phenomenon.",0169-5983,NA,50,5,NA,NA,NA,NA,1873-7005,NA,J,NA,1,WOS:000440586500004,0,1,0,0,0,0,51407,NA,Oct-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Numerical Simulations of Mixed Convection in Liquid Metal Flow Within a Horizontal Pipe with Transverse Magnetic Field.,excluded,NA
Lowen_2020_JOOFPHCO,"Lowen, Steven B. and Mohan, Nishant and Teich, Malvin Carl",Ambient temperature fluctuations exhibit inverse-cubic spectral behavior over time scales from a minute to a day,JOURNAL OF PHYSICS COMMUNICATIONS,10.1088/2399-6528/ab82b7,2020,"Ambient temperature fluctuations are of importance in a wide variety of scientific and technological arenas. In a series of experiments carried out in our laboratory over an 18-month period, we discovered that these fluctuations exhibit 1/f(3) spectral behavior over the frequency range 1.0 x 10(-5) <= f <= 2.5 x 10(-2) Hz, corresponding to 40 s <= T-f <= 1.2 d, where T-f = 1/f. This result emerges over a broad range of conditions. For longer time periods, 1.2 T-f <= 11.6 d, corresponding to the frequency range 1.0 x 10(-6) <= f < 1.0 x 10(-5) Hz, we observed 1/f(2) spectral behavior. This latter result is in agreement with that observed in data collected at European weather stations. Scalograms computed from our data are consistent with the periodograms.",2399-6528,NA,4,4,NA,NA,NA,NA,NA,NA,J,NA,0,WOS:000525184000001,0,0,0,0,0,0,41001,"Teich, Malvin/0000-0001-8164-4622; Lowen, Steven/0000-0002-5243-2548",Apr-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ambient Temperature Fluctuations Exhibit Inverse-Cubic Spectral Behavior over Time Scales from a Minute to a Day.,excluded,NA
Kuqali_2015_JOOFAPFLME,"Kuqali, M. and Babuin, S. and Niemela, J. J.",Effect of Periodic Bottom Plate Heating on Large Scale Flow in Turbulent Rayleigh-Benard Convection,JOURNAL OF APPLIED FLUID MECHANICS,NA,2015,"We report analysis of temperature fluctuations measured inside a Rayleigh-Benard convection cell of aspect ratio unity with steady and time-varying heating of the bottom boundary. The working fluid is cryogenic helium gas at Rayleigh number Ra = 10(13), for which a large scale coherent flow (mean wind) exists. We observe the wind to occasionally vanish under both steady and time-varying heating conditions. However, with applied periodic modulation of the lower boundary temperature at the frequency of the wind, we can observe destruction of the periodic temperature variation at the cell mid-plane, due to relative changes in phase between the mean wind and the propagating temperature wave. The wind speed is not observed to change with modulation, demonstrating that it is set by mean properties of the system. Finally we propose that the frequency of the mean wind - and hence the large scale Reynolds number - could be better resolved by finding resonance with applied forcing.",1735-3572,NA,8,3,483-489,NA,NA,NA,1735-3645,NA,J,NA,1,WOS:000362242800014,0,1,0,0,0,0,NA,NA,Jul-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Effect of Periodic Bottom Plate Heating on Large Scale Flow in Turbulent Rayleigh-Benard Convection.,excluded,NA
Kamardin_2011_Oaio,"Kamardin, .p. and Kokhanenko, G.p. and Nevzorova, I.v. and Penner, I.e.",Joint lidar and sodar investigations of the atmospheric boundary layers. ,Optika atmosfery i okeana,NA,2011,"Using the LOSA-S lidar and three-channel Doppler Volna-4 sodar, we performed joint observations of the altitude-temporal transformation of aerosol concentration and structure of temperature-wind field. Data are obtained on the co-ordination or differences in the dynamics of aerosol concentration at different altitudes at daytime and the processes of convective heat exchange in the atmospheric boundary layer. - - -4. .",0869-5695,NA,24,6,534-537,NA,NA,NA,NA,NA,J,NA,4,RSCI:16401952,0,4,0,0,0,0,NA,NA,2011,", and , and , and ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Joint Lidar and Sodar Investigations of the Atmospheric Boundary Layers. .,excluded,NA
Short_2003_IFOAIP1A2,"Short, N and Fitelson, W and Hale, DDS and Townes, CH",Low-altitude atmospheric turbulence characteristics at Mt. Wilson Observatory,"INTERFEROMETRY FOR OPTICAL ASTRONOMY II, PTS 1 AND 2",10.1117/12.456998,2003,"Previous measurements of atmospheric density fluctuations have shown that a substantial fraction of seeing fluctuations occur within 100 feet of the ground,(1) and that the power spectrum of path length fluctuations through the atmosphere has a somewhat smaller slope than that predicted by the Kolmogorov-Taylor approximation. 2 To provide some possibility of appreciable path-length corrections, the ISI has assembled a system capable of measuring temperature changes at fifteen foot intervals of heights up to 70 feet from the ground. Analysis of temperature measurements made under a variety of conditions confirms previous results concerning the decrease in the magnitude of the fluctuations with altitude near the ground: the rms magnitude of the temperature fluctuations at an elevation of 70 feet is, on average, 52% of the mean rms value at 9 feet. However, these new measurements made at point locations show a power spectrum close to the Kolmogorov-Taylor prediction at frequencies up to 1.0 Hz, for average wind speeds above 2 m/s. In addition, correlation analysis between sensors located at the same elevation but separated by a given distance shows up to 50% correlation out to separations as large as 24 meters with wind speeds of a few meters per second, and indicate that Taylor's approximation applies over spatial distances in the range of 24-85 meters, or on timescales as large as ten seconds, and perhaps as large as 14 or 15 seconds. This makes path length corrections possible by temperature measurements at nearby locations.",0277-786X,NA,4838,NA,803-814-SPIE,"AUG 22-28, 2002",NA,NA,NA,NA,S,NA,1,WOS:000181980200086,0,1,0,0,0,0,NA,NA,2003,NA,"Traub, WA",0-8194-4617-3,"WAIKOLOA, HI",Conference on Interferometry for Optical Astronomy II,1&2,PROCEEDINGS OF THE SOCIETY OF PHOTO-OPTICAL INSTRUMENTATION ENGINEERS and (SPIE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low-Altitude Atmospheric Turbulence Characteristics at Mt. Wilson Observatory.,excluded,NA
Rahman_2007_AQUA,"Rahman, M. M. and Corteel, M. and Dantas-Lima, J. J. and Wille, M. and Alday-Sanz, V. and Pensaert, M. B. and Sorgeloos, P. and Nauwynck, H. J.",Impact of daily fluctuations of optimum (27 degrees C) and high water temperature (33 degrees C) on Penaeus vannamei juveniles infected with white spot syndrome virus (WSSV),AQUACULTURE,10.1016/j.aquaculture.2007.04.056,2007,"This study evaluated the effect of daily fluctuations between optimum (27 degrees C) and high water temperature (33 degrees C) on the clinical and virological outcome of a WSSV infection in Penaeus vannamei juveniles. Shrimp were inoculated intramuscularly with a dose of 10,000 SID50 of either virulent WSSV Thai-1 or less virulent WSSV Viet or mock inoculated. Temperature was kept either continuously at 27 degrees C or switched from 27 degrees C to 33 degrees C at 12 h post inoculation (hpi) and maintained at that temperature for 6 h (6 h 33 degrees C), 12 h (12 h 33 degrees C), 18 h (18 h 33 degrees C) or 24 h (24 h 33 degrees C) per day. Temperature was then lowered and maintained at 27 degrees C for the remaining hours of the day. The experiments ran for 132 hpi with WSSV Thai-1 and 168-192 hpi with WSSV Viet. WSSV infections were demonstrated by indirect immunofluorescence (IIF). Shrimp kept continuously at 27 degrees C, started to show clinical signs at 24 hpi and mortalities started at 36 hpi with both strains. Cumulative mortalities reached 100% at 60 hpi with WSSV Thai-1 and at 168-192 hpi with WSSV Viet in two experiments. At constant 33 degrees C (24 h 33 degrees C), mortalities were 0% with WSSV Thai-1 and 5% or 10% with WSSV Viet. With exposure to 33 degrees C for 6 or 12 h per day (6 h 33 degrees C or 12 h 33 degrees C), cumulative mortalities reached 90-100% at 72-96 hpi with WSSV Thai-1. With WSSV Viet cumulative mortalities reached 100% at 84-96 hpi or 50-95% at 96-108 hpi with 33 degrees C for 6 h or 12 h per day. Mortalities were clearly reduced with WSSV Thai-1 (0-40%) and WSSV Viet (5-15%) at 33 degrees C for 18 h per day. At constant 27 degrees C and at 33 degrees C for 6 h or 12 h per day, dead shrimp were WSSV positive and euthanized shrimp were WSSV negative. At 33 degrees C for 18 h or 24 h per day, the dead and euthanized shrimp were WSSV negative except the dead shrimp at 18 h 33 degrees C with Thai-1 were WSSV positive. The present study showed that daily temperature fluctuations have negative (6 h 33 degrees C with WSSV Viet) or positive effects (6 h 33 degrees C with WSSV Thai-1 and 12 h or 18 h 33 degrees C with both strains) on disease and mortality of shrimp infected with WSSV. (C) 2007 Elsevier B.V. All rights reserved.",0044-8486,NA,269,4-Jan,107-113,NA,NA,NA,1873-5622,NA,J,NA,28,WOS:000249143600011,4,32,0,26,0,2,NA,"Nauwynck, Hans/0000-0001-5470-0713",SEP 14 2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact of Daily Fluctuations of Optimum (27 Degrees c) and High Water Temperature (33 Degrees c) on Penaeus Vannamei Juveniles Infected with White Spot Syndrome Virus (Wssv),selected,NA
