label,author,title,journal,doi,year,abstract,citation,screened_titles,notes,screened_abstracts
Alston_2020_JOOFEXBI,"Alston, Meggan A. and Lee, Jeeyun and Moore, M. Elizabeth and Kingsolver, Joel G. and Willett, Christopher S.",The ghost of temperature past: interactive effects of previous and current thermal conditions on gene expression in Manduca sexta,JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.213975,2020,"High temperatures can negatively impact the performance and survival of organisms, particularly ectotherms. While an organism's response to high temperature stress clearly depends on current thermal conditions, its response may also be affected by the temporal pattern and duration of past temperature exposures. We used RNA sequencing of Manduca sexta larvae fat body tissue to evaluate how diurnal temperature fluctuations during development affected gene expression both independently and in conjunction with subsequent heat stress. Additionally, we compared gene expression between two M. sexta populations, a lab colony and a genetically related field population that have been separated for >300 generations and differ in their thermal sensitivities. Lab-adapted larvae were predicted to show increased expression responses to both single and repeated thermal stress, whereas recurrent exposure could decrease later stress responses for field individuals. We found large differences in overall gene expression patterns between the two populations across all treatments, as well as population-specific transcriptomic responses to temperature; more differentially expressed genes were upregulated in the field compared with lab larvae. Developmental temperature fluctuations alone had minimal effects on long-term gene expression patterns, with the exception of a somewhat elevated stress response in the lab population. Fluctuating rearing conditions did alter gene expression during exposure to later heat stress, but this effect depended on both the population and the particular temperature conditions. This study contributes to increased knowledge of molecular mechanisms underlying physiological responses of organisms to temperature fluctuations, which is needed for the development of more accurate thermal performance models.",The Ghost of Temperature Past: Interactive Effects of Previous and Current Thermal Conditions on Gene Expression in Manduca Sexta.,selected,NA,selected
Aristizabal_2016_JOOFGERE,"Aristizabal, Maria F. and Fewings, Melanie R. and Washburn, Libe","Contrasting spatial patterns in the diurnal and semidiurnal temperature variability in the Santa Barbara Channel, California",JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,10.1002/2015JC011239,2016,"The Santa Barbara Channel, California, experiences large temperature fluctuations during summer that have been associated with the input of nutrients to the euphotic zone. We studied the temperature fluctuations in the diurnal and semidiurnal bands, which account for as much as 65% of the total variance. We analyzed data from 25 moorings along the mainland and the Northern Channel Islands deployed at depths 8-18 m during 1999-2012. In the diurnal band, the temperature fluctuations vary almost simultaneously within two distinct regions, with a lag of 5 h between the regions: the mainland east of Point Conception and the west part of the Channel exposed to the large-scale winds. The two regions of in-phase temperature variability are in agreement with a previously published division of zones according to the wind characteristics. The portion of the diurnal temperature variance that is wind driven does not propagate along the coastline, but rather is directly forced by the wind. The semidiurnal temperature oscillations are more substantial in the Northern Channel Islands. These findings are consistent with a numerical study that predicted that the steep slopes of the Santa Cruz Basin, located south of the Channel Islands, are a source of semidiurnal internal tides. We conclude that the contrast between the spatial patterns of the diurnal and semidiurnal temperature oscillations on scales of tens of kilometers reflects the spatial distribution of the main forcing in each band, namely the diurnal wind and the locally generated semidiurnal internal tide. The spatial patterns of the diurnal and semidiurnal oscillations reflect the forcing in each band.","Contrasting Spatial Patterns in the Diurnal and Semidiurnal Temperature Variability in the Santa Barbara Channel, California.",selected,background paper ,selected
Aristizabal_2017_JOOFGERE,"Aristizabal, Maria F. and Fewings, Melanie R. and Washburn, Libe","Effects of the Relaxation of Upwelling-Favorable Winds on the Diurnal and Semidiurnal Water Temperature Fluctuations in the Santa Barbara Channel, California",JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,10.1002/2017JC013199,2017,"In the Santa Barbara Channel, California, and around the Northern Channel Islands, water temperature fluctuations in the diurnal and semidiurnal frequency bands are intermittent, with amplitudes that vary on time scales of days to weeks. The cause of this intermittency is not well understood. We studied the effects of the barotropic tide, vertical stratification, propagation of coastal-trapped waves, regional wind relaxations, and diurnal-band winds on the intermittency of the temperature fluctuations during 1992-2015. We used temperature data from 43 moorings in 10-200 m water depth and wind data from two buoys and one land station. Subtidal-frequency changes in vertical stratification explain 20-40% of the intermittency in diurnal and semidiurnal temperature fluctuations at time scales of days to weeks. Along the mainland north of Point Conception and at the Northern Channel Islands, the relaxation of upwelling-favorable winds substantially increases vertical stratification, accounting for up to 55% of the subtidal-frequency variability in stratification. As a result of the enhanced stratification, wind relaxations enhance the diurnal and semidiurnal temperature fluctuations at those sites, even though the diurnal-band wind forcing decreases during wind relaxation. A linear model where the background stratification is advected vertically explains a substantial fraction of the temperature fluctuations at most sites. The increase of vertical stratification and subsequent increase in diurnal and semidiurnal temperature fluctuations during wind relaxation is a mechanism that can supply nutrients to the euphotic zone and kelp forests in the Channel in summer when upwelling is weak.","Effects of the Relaxation of Upwelling-Favorable Winds on the Diurnal and Semidiurnal Water Temperature Fluctuations in the Santa Barbara Channel, California.",selected,background,selected
Bartholomae_2007_AFJOOFMASC,"Bartholomae, C. H. and Hagen, E.","Short-term variability in alongshore winds and temperature off Swakopmund, Namibia, during a non-upwelling event in 1998-1999",AFRICAN JOURNAL OF MARINE SCIENCE,10.2989/AJMS.2007.29.1.14.79,2007,"Swakopmund is a popular coastal resort in Namibia, especially during the summer holiday season when daily sea temperatures can fluctuate several degrees in a short period. Hourly measurements of the near-bottom water temperature were collected off the Swakopmund Jetty to investigate the thermal variability in relation to local winds. The thermal regime of this coastal region appears to be controlled by the locally forced Ekman offshore transport. Related changes in offshore transport led those of the surf-zone temperature by about one day. A transfer of kinetic energy from the alongshore wind into the temperature field of the nearshore zone dominated relative short time scales (hourly). The longer periods (7-9 days) are associated with the forcing of poleward-directed continental shelf waves. The origin of the 24-25 day frequencies is not clearly understood. However, it characterises the nearshore wind field as well as the water temperature of the surf zone. These relatively long quasi-cycles could originate from rhythmic changes in the regional wind field as a result of changes in the thermal contrast between sea and land areas.","Short-Term Variability in Alongshore Winds and Temperature Off Swakopmund, Namibia, During a Non-Upwelling Event in 1998-1999.",selected,this would be good background for case studies that talk about the importance of different period of enviornmental variability.,selected
Bates_2005_MARIECOLPROGSERI,"Bates, AE and Tunnicliffe, V and Lee, RW",Role of thermal conditions in habitat selection by hydrothermal vent gastropods,MARINE ECOLOGY PROGRESS SERIES,10.3354/meps305001,2005,"Habitat selection by 3 Juan de Fuca Ridge gastropod species relates to their thermal environment. Both collections and images taken along transects document the small-scale abundance patterns of each species with respect to temperature and distance from vent flows. Lepetodrilus fucensis and Depressigyra globulus were most abundant at distances from vent flows of 0 to 25 cm in warm fluids with high temperature variability (10 +/- 5 degrees C) over several time scales. Both species were also abundant at 26 to 50 cm, where temperatures were lower with less variability (4 +/- 1 degrees C). Provanna variabilis was most abundant from 51 to 75 cm, where temperatures were stable (3 +/- 0.5 degrees C). All species were absent where maximum fluid temperatures reached 18 degrees C and their substratum coverage was related to temperature. When presented with a choice in vent fluids from 10 to 2 degrees C, L. fucensis and D. globulus moved to areas with temperatures above 5 degrees C, while P. variabilis showed no preference. In species-specific temperature preference experiments, L. fucensis and. D. globulus aggregated between 5 and 1.3 degrees C, while P. variabilis occupied areas with significantly lower temperatures from 4 to 11 degrees C. These experimental temperature preferences correspond with their thermal environments. Upper temperature limits are moderate; extreme abiotic variability in higher temperature fluids may constrain these 3 species. We conclude thermal conditions are a primary determinant of habitat selection, thereby driving gastropod abundance patterns. However, other factors likely contribute. Space competition nearest vent flows may result in the displacement of individuals of these species to low quality habitats.",Role of Thermal Conditions in Habitat Selection by Hydrothermal Vent Gastropods.,selected,background paper ,selected
Bates_2013_JOOFEXMABIANEC,"Bates, Amanda E. and Bird, Tomas J. and Robert, Katleen and Onthank, Kirt L. and Quinn, Gerry P. and Juniper, S. Kim and Lee, Raymond W.",Activity and positioning of eurythermal hydrothermal vent sulphide worms in a variable thermal environment,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,10.1016/j.jembe.2013.06.015,2013,"Here we investigate behavioral responses to fine-scale spatial and temporal temperature gradients in a heat tolerant hydrothermal vent worm (Paralvinella sulfincola). While this species has been a model organism for understanding physiological adaptations to extreme environments, lacking are corroborative in situ experiments and characterization of temperature-related behaviors representing the lower thermal tolerance range of this species. To address this knowledge gap, we first quantified the upper thermal limit for this species using a rapid heating protocol executed remotely on the seafloor. Second, we used a combination of in situ observations and shipboard experiments to test for temperature-dependent patterns in activity and behavior. We confirm that P. sulfincola is remarkably eurythermal and demonstrates a thermal niche breadth exceeding 45 degrees C. We further show that the activity and positioning of worms relate to temperatures within its lower preferred range (i.e., between 4 and 20 degrees C). Worms tended to remain closer to their tube openings and held their branchial crown in a consistent location when fluids were relatively warm. By contrast, when fluids were cooler, both the distance worms were observed from their tubes and positioning of their branchial crown were more variable. A Bayesian hidden Markov model classified each worm at each time interval as being in a high or low activity state according to the magnitude of change in their orientation and how far they moved between successive time lapse images. We found that the transition between active and inactive states at any time period is related to fluid temperature. Our observations indicate that the behavior of the worms is temperature-dependent, which may in turn reflect temperature-related variables such as the delivery of food particles, dissolved oxygen concentration, or relative environmental variability. Our findings demonstrate that this species can respond behaviorally to very fine-scale environmental variability in a manner not simply predicted by models of increasing activity with temperature. (C) 2013 Elsevier B.V. All rights reserved.",Activity and Positioning of Eurythermal Hydrothermal Vent Sulphide Worms in a Variable Thermal Environment.,selected,NA,selected
Bernhardt_2018_Drya,"Bernhardt, Joey R and Sunday, Jennifer M and Thompson, Patrick L and O'Connor, Mary I",Population abundances over time,Dryad,http://dx.doi.org/10.5061/DRYAD.5KT4J51/1,2018,Population abundances of Tetraselmis tetrahele grown over an experimental temperature gradient in constant and fluctuating thermal regimes (i.e. fluctuations of 5 degrees celcius up and down around mean temperatures) in the O'Connor Lab at the University of British Columbia.,Population Abundances over Time.,selected,NA,selected
Bernhardt_2018_PROFTHROSOB.SC,"Bernhardt, Joey R. and Sunday, Jennifer M. and Thompson, Patrick L. and O'Connor, Mary I.",Nonlinear averaging of thermal experience predicts population growth rates in a thermally variable environment,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2018.1076,2018,"As thermal regimes change worldwide, projections of future population and species persistence often require estimates of how population growth rates depend on temperature. These projections rarely account for how temporal variation in temperature can systematically modify growth rates relative to projections based on constant temperatures. Here, we tested the hypothesis that time-averaged population growth rates in fluctuating thermal environments differ from growth rates in constant conditions as a consequence of Jensen's inequality, and that the thermal performance curves (TPCs) describing population growth in fluctuating environments can be predicted quantitatively based on TPCs generated in constant laboratory conditions. With experimental populations of the green alga Tetraselmis tetrahele, we show that nonlinear averaging techniques accurately predicted increased as well as decreased population growth rates in fluctuating thermal regimes relative to constant thermal regimes. We extrapolate from these results to project critical temperatures for population growth and persistence of 89 phytoplankton species in naturally variable thermal environments. These results advance our ability to predict population dynamics in the context of global change.",Nonlinear Averaging of Thermal Experience Predicts Population Growth Rates in a Thermally Variable Environment.,selected,good background paper,selected
Bovill_2001_INJOOFFOMI,"Bovill, RA and Bew, J and Baranyi, J",Measurements and predictions of growth for Listeria monocytogenes and Salmonella during fluctuating temperature II. Rapidly changing temperatures,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,10.1016/S0168-1605(01)00446-9,2001,Growth of Listeria monocytogenes and Salmonella was examined during various rates of increase ana decrease in temperature from and to the minimum for growth. Growth was little affected by even the most rapid changes and injury or lag was not observed. Subsequent investigations of growth during periods of rapid variation in temperature from and to temperatures below the growth minimum again had little effect and growth was satisfactorily predicted using the dynamic model of Baranyi and Roberts [Int. J. Food Microbiol. 23 (1994) 277] in conjunction with the data of Food Micromodel. (C) 2001 published by Elsevier Science B.V.,Measurements and Predictions of Growth for Listeria Monocytogenes and Salmonella During Fluctuating Temperature Ii. Rapidly Changing Temperatures.,selected,NA,selected
Bowden_2018_PHYS,"Bowden, Rachel M. and Paitz, Ryan T.",Temperature fluctuations and maternal estrogens as critical factors for understanding temperature-dependent sex determination in nature,PHYSIOLOGY,10.1002/jez.2183,2018,"Vertebrates with temperature-dependent sex determination (TSD) have justifiably received a lot of attention when it comes to the potential effects of climate change. Freshwater turtles have long been used to characterize the physiological and genetic mechanisms underlying TSD and provide a great system to investigate how changing climatic conditions will affect vertebrates with TSD. Unfortunately, most of what we know about the mechanisms underlying TSD comes from laboratory conditions that do not accurately mimic natural conditions (i.e., constant incubation temperatures and supraphysiological steroid manipulations). In this paper, we review recent advances in our understanding of how TSD operates in nature that arose from studies using more natural fluctuating incubation temperatures and natural variation in maternal estrogens within the yolk. By incorporating more natural conditions into laboratory studies, we are better able to use these studies to predict how changing climatic conditions will affect species with TSD.",Temperature Fluctuations and Maternal Estrogens as Critical Factors for Understanding Temperature-Dependent Sex Determination in Nature.,selected,background ,selected
