countryCode,genus,species,decimalLongitude,decimalLatitude
ES,Mauremys,Mauremys reevesii,-4.418852,36.720525
CN,Mauremys,Mauremys reevesii,105.815826,32.442223
VN,Mauremys,Mauremys reevesii,105.641389,21.454167
TW,Mauremys,Mauremys reevesii,118.4,24.45
CO,Mauremys,Mauremys reevesii,-76.4,5.3083
CN,Mauremys,Mauremys reevesii,116.65,23.36667
KR,Mauremys,Mauremys reevesii,126.9732,37.5121
CN,Mauremys,Mauremys reevesii,120.140208,30.216856
CN,Mauremys,Mauremys reevesii,120.140208,30.216856
CN,Mauremys,Mauremys reevesii,122.127172,30.069922
CN,Mauremys,Mauremys reevesii,122.127172,30.069922
CN,Mauremys,Mauremys reevesii,122.127172,30.069922
CN,Mauremys,Mauremys reevesii,122.127172,30.069922
CN,Mauremys,Mauremys reevesii,118.796919,32.060256
CN,Mauremys,Mauremys reevesii,118.4862,31.5531
SG,Mauremys,Mauremys reevesii,103.7567,1.4122
SG,Mauremys,Mauremys reevesii,103.7567,1.4122
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
CN,Mauremys,Mauremys reevesii,117.183333,39.133333
KR,Mauremys,Mauremys reevesii,127.122553,36.456547
JP,Mauremys,Mauremys reevesii,129.72042,33.78347
JP,Mauremys,Mauremys reevesii,129.72042,33.78347
JP,Mauremys,Mauremys reevesii,129.72042,33.78347
JP,Mauremys,Mauremys reevesii,129.72042,33.78347
CN,Mauremys,Mauremys reevesii,120.585372,31.298975
CN,Mauremys,Mauremys reevesii,120.585372,31.298975
CN,Mauremys,Mauremys reevesii,120.585372,31.298975
CN,Mauremys,Mauremys reevesii,120.585372,31.298975
CN,Mauremys,Mauremys reevesii,120.585372,31.298975
CN,Mauremys,Mauremys reevesii,120.585372,31.298975
CN,Mauremys,Mauremys reevesii,120.585372,31.298975
CN,Mauremys,Mauremys reevesii,120.585372,31.298975
CN,Mauremys,Mauremys reevesii,120.585372,31.298975
CN,Mauremys,Mauremys reevesii,120.585372,31.298975
CN,Mauremys,Mauremys reevesii,120.585372,31.298975
JP,Mauremys,Mauremys reevesii,134.92847,34.29167
JP,Mauremys,Mauremys reevesii,135.71847,35.12611
JP,Mauremys,Mauremys reevesii,135.48597,34.67722
CN,Mauremys,Mauremys reevesii,121.4891,31.233883
CN,Mauremys,Mauremys reevesii,121.473811,31.230289
CN,Mauremys,Mauremys reevesii,121.473811,31.230289
CN,Mauremys,Mauremys reevesii,121.473811,31.230289
CN,Mauremys,Mauremys reevesii,121.473811,31.230289
CN,Mauremys,Mauremys reevesii,121.473811,31.230289
CN,Mauremys,Mauremys reevesii,121.473811,31.230289
CN,Mauremys,Mauremys reevesii,121.473811,31.230289
CN,Mauremys,Mauremys reevesii,121.473811,31.230289
JP,Mauremys,Mauremys reevesii,138,36
JP,Mauremys,Mauremys reevesii,130.414,31.7119
JP,Mauremys,Mauremys reevesii,140.13,39.74
CN,Mauremys,Mauremys reevesii,118.084192,24.493142
CN,Mauremys,Mauremys reevesii,111.566666,22.766666
CN,Mauremys,Mauremys reevesii,118.199997,33.450001
CN,Mauremys,Mauremys reevesii,118.199997,33.450001
CN,Mauremys,Mauremys reevesii,118.199997,33.450001
CN,Mauremys,Mauremys reevesii,118.199997,33.450001
US,Mauremys,Mauremys reevesii,-92.58353,45.974115
PT,Xylotrechus,Xylotrechus arvicola,-9.245621,39.325312
AT,Xylotrechus,Xylotrechus arvicola,16.623478,47.87819
FR,Xylotrechus,Xylotrechus arvicola,3.937734,43.581935
FR,Xylotrechus,Xylotrechus arvicola,2.40498,48.756225
DE,Xylotrechus,Xylotrechus arvicola,8.365249,50.046518
ES,Xylotrechus,Xylotrechus arvicola,2.99464,42.268068
DE,Xylotrechus,Xylotrechus arvicola,6.162555,50.741547
PT,Xylotrechus,Xylotrechus arvicola,-9.051177,38.910943
RU,Xylotrechus,Xylotrechus arvicola,56.628578,54.467595
ES,Xylotrechus,Xylotrechus arvicola,-3.772033,40.673783
BG,Xylotrechus,Xylotrechus arvicola,24.521923,43.424491
FR,Xylotrechus,Xylotrechus arvicola,3.041721,50.484869
FR,Xylotrechus,Xylotrechus arvicola,-0.534166,46.118337
ES,Xylotrechus,Xylotrechus arvicola,-6.720551,43.465706
RU,Xylotrechus,Xylotrechus arvicola,56.446004,52.866821
FR,Xylotrechus,Xylotrechus arvicola,2.749303,42.43042
IT,Xylotrechus,Xylotrechus arvicola,13.488671,43.201641
PT,Xylotrechus,Xylotrechus arvicola,-8.188556,39.935566
ES,Xylotrechus,Xylotrechus arvicola,1.248319,42.614854
FR,Xylotrechus,Xylotrechus arvicola,-0.466017,47.590471
FR,Xylotrechus,Xylotrechus arvicola,0.757221,45.146949
FR,Xylotrechus,Xylotrechus arvicola,8.94737,41.79584
PT,Xylotrechus,Xylotrechus arvicola,-9.182431,38.799174
PT,Xylotrechus,Xylotrechus arvicola,-8.228972,40.301997
PT,Xylotrechus,Xylotrechus arvicola,-8.793922,41.892178
DE,Xylotrechus,Xylotrechus arvicola,13.388051,52.446791
FR,Xylotrechus,Xylotrechus arvicola,9.13371,41.87572
FR,Xylotrechus,Xylotrechus arvicola,9.13457,41.87525
FR,Xylotrechus,Xylotrechus arvicola,3.55596,43.35427
FR,Xylotrechus,Xylotrechus arvicola,0.63707,47.38149
