countryCode,genus,species,decimalLongitude,decimalLatitude,thermal_zone
ES,Mauremys,Mauremys reevesii,-4.418852,36.720525,subtropical
CN,Mauremys,Mauremys reevesii,105.815826,32.442223,subtropical
VN,Mauremys,Mauremys reevesii,105.641389,21.454167,subtropical
TW,Mauremys,Mauremys reevesii,118.4,24.45,subtropical
CO,Mauremys,Mauremys reevesii,-76.4,5.3083,tropical
CN,Mauremys,Mauremys reevesii,116.65,23.36667,subtropical
KR,Mauremys,Mauremys reevesii,126.9732,37.5121,subtropical
CN,Mauremys,Mauremys reevesii,120.140208,30.216856,subtropical
CN,Mauremys,Mauremys reevesii,120.140208,30.216856,subtropical
CN,Mauremys,Mauremys reevesii,122.127172,30.069922,subtropical
CN,Mauremys,Mauremys reevesii,122.127172,30.069922,subtropical
CN,Mauremys,Mauremys reevesii,122.127172,30.069922,subtropical
CN,Mauremys,Mauremys reevesii,122.127172,30.069922,subtropical
CN,Mauremys,Mauremys reevesii,118.796919,32.060256,subtropical
CN,Mauremys,Mauremys reevesii,118.4862,31.5531,subtropical
SG,Mauremys,Mauremys reevesii,103.7567,1.4122,tropical
SG,Mauremys,Mauremys reevesii,103.7567,1.4122,tropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
CN,Mauremys,Mauremys reevesii,117.183333,39.133333,subtropical
KR,Mauremys,Mauremys reevesii,127.122553,36.456547,subtropical
JP,Mauremys,Mauremys reevesii,129.72042,33.78347,subtropical
JP,Mauremys,Mauremys reevesii,129.72042,33.78347,subtropical
JP,Mauremys,Mauremys reevesii,129.72042,33.78347,subtropical
JP,Mauremys,Mauremys reevesii,129.72042,33.78347,subtropical
CN,Mauremys,Mauremys reevesii,120.585372,31.298975,subtropical
CN,Mauremys,Mauremys reevesii,120.585372,31.298975,subtropical
CN,Mauremys,Mauremys reevesii,120.585372,31.298975,subtropical
CN,Mauremys,Mauremys reevesii,120.585372,31.298975,subtropical
CN,Mauremys,Mauremys reevesii,120.585372,31.298975,subtropical
CN,Mauremys,Mauremys reevesii,120.585372,31.298975,subtropical
CN,Mauremys,Mauremys reevesii,120.585372,31.298975,subtropical
CN,Mauremys,Mauremys reevesii,120.585372,31.298975,subtropical
CN,Mauremys,Mauremys reevesii,120.585372,31.298975,subtropical
CN,Mauremys,Mauremys reevesii,120.585372,31.298975,subtropical
CN,Mauremys,Mauremys reevesii,120.585372,31.298975,subtropical
JP,Mauremys,Mauremys reevesii,134.92847,34.29167,subtropical
