response_id,experiment_id,study_id,origin,org_level,flux_treatment,flux_pattern,temp_ini,mean_temp_constant,min_temp,max_temp,flux_range,period_flux,resp_def,resp_units,constant_resp,flux_resp,constant_variance,flux_variance,constant_samp,flux_samp,resp_quality,variance_type,genus,species,larger_group,exp_age,size,add_covariate ,add_covariate_value,extra_covariate ,extra_value,add_info,time_point ,time_units,same_mean (y/n),stressful,environment,,
1,1,du2009,figure 3,0,1,1,,28,25,31,6,24,body mass,g,5.628507795,5.248997773,0.128285078,0.160356347,24,25,1,0,Mauremys,reevesii,1,0,2,sex,male,,,,,,y,n,aquatic,,
1,1,du2009,figure 3,0,1,1,,28,22,34,12,24,body mass,g,5.628507795,5.323830735,0.128285078,0.277951002,24,25,1,0,Mauremys,reevesii,1,0,2,sex,male,,,,,,y,n,aquatic,,
1,1,du2009,figure 3,0,1,1,,28,25,31,6,24,body mass,g,5.628507795,5.248997773,0.098886414,0.098886414,14,9,1,0,Mauremys,reevesii,1,0,2,sex,female,,,,,,y,n,aquatic,,
1,1,du2009,figure 3,0,1,1,,28,22,34,12,24,body mass,g,5.628507795,5.259688196,0.098886414,0.096213808,14,3,1,0,Mauremys,reevesii,1,0,2,sex,female,,,,,,y,n,aquatic,,
2,1,du2009,figure 3,0,1,1,,28,25,31,6,24,carapace height,mm,28.11333333,27.26,0.24,0.306666667,24,25,1,0,Mauremys,reevesii,1,0,2,sex,male,,,,,,y,n,aquatic,,
2,1,du2009,figure 3,0,1,1,,28,22,34,12,24,carapace height,mm,28.11333333,27.36666667,0.24,0.526666667,24,25,1,0,Mauremys,reevesii,1,0,2,sex,male,,,,,,y,n,aquatic,,
2,1,du2009,figure 3,0,1,1,,28,25,31,6,24,carapace height,mm,28.10888889,27.70444444,0.186666667,0.184444444,14,9,1,0,Mauremys,reevesii,1,0,2,sex,female,,,,,,y,n,aquatic,,
2,1,du2009,figure 3,0,1,1,,28,22,34,12,24,carapace height,mm,28.10888889,27.84666667,0.186666667,0.177777778,14,3,1,0,Mauremys,reevesii,1,0,2,sex,female,,,,,,y,n,aquatic,,
3,1,du2009,figure 3,0,1,1,,28,25,31,6,24,carapace width ,mm,22.70646739,21.53460404,0.294619565,0.378348214,24,25,1,0,Mauremys,reevesii,1,0,2,sex,male,,,,,,y,n,aquatic,,
3,1,du2009,figure 3,0,1,1,,28,22,34,12,24,carapace width ,mm,22.70646739,21.98325311,0.294619565,0.649553571,24,25,1,0,Mauremys,reevesii,1,0,2,sex,male,,,,,,y,n,aquatic,,
3,1,du2009,figure 3,0,1,1,,28,25,31,6,24,carapace width ,mm,22.63950311,21.78906832,0.220958851,0.231026786,14,9,1,0,Mauremys,reevesii,1,0,2,sex,female,,,,,,y,n,aquatic,,
3,1,du2009,figure 3,0,1,1,,28,22,34,12,24,carapace width ,mm,22.63950311,22.21093168,0.220958851,0.234375,14,3,1,0,Mauremys,reevesii,1,0,2,sex,female,,,,,,y,n,aquatic,,
4,2,du2009,figure 4,0,1,1,,28,25,31,6,24,body mass,g,270.773639,309.8853868,15.04297994,21.06017192,23,24,1,0,Mauremys,reevesii,1,1,2,sex,female,,,,455.8352983,days since hatching,y,n,aquatic,,
4,2,du2009,figure 4,0,1,1,,28,22,34,12,24,body mass,g,270.773639,300.8595989,15.04297994,16.04584527,23,24,1,0,Mauremys,reevesii,1,1,2,sex,female,,,,455.8352983,days since hatching,y,n,aquatic,,
